frequency,magnitude,phase
9.794696670695393070e-01,-4.166449143077272808e-06,-5.611946013790247711e-02
9.931091813749796104e-01,-4.283296034824672912e-06,-5.690094598199688797e-02
1.006938631476027579e+00,-4.403419863042398028e-06,-5.769331431335486537e-02
1.020960662306046540e+00,-4.526912530250519465e-06,-5.849671667413105375e-02
1.035177955630176339e+00,-4.653868509876590625e-06,-5.931130671672769222e-02
1.049593230558227619e+00,-4.784384934010043345e-06,-6.013724023317876255e-02
1.064209244064724169e+00,-4.918561652226789713e-06,-6.097467518494380234e-02
1.079028791516184249e+00,-5.056501316450703589e-06,-6.182377173311605356e-02
1.094054707205742494e+00,-5.198309454243208197e-06,-6.268469226905142022e-02
1.109289864895222744e+00,-5.344094561379466809e-06,-6.355760144542403622e-02
1.124737178364751955e+00,-5.493968167423411947e-06,-6.444266620771375853e-02
1.140399601970032428e+00,-5.648044933125673654e-06,-6.534005582613236496e-02
1.156280131207376050e+00,-5.806442731427940639e-06,-6.624994192799449344e-02
1.172381803286598467e+00,-5.969282753539930327e-06,-6.717249853053847142e-02
1.188707697711903322e+00,-6.136689570657295142e-06,-6.810790207420508446e-02
1.205260936870842681e+00,-6.308791260289587554e-06,-6.905633145637879444e-02
1.222044686631488020e+00,-6.485719489193491419e-06,-7.001796806559923425e-02
1.239062156947916327e+00,-6.667609613664042860e-06,-7.099299581624898825e-02
1.256316602474120803e+00,-6.854600790433509864e-06,-7.198160118372394500e-02
1.273811323186478495e+00,-7.046836077927066892e-06,-7.298397324009354981e-02
1.291549665014884107e+00,-7.244462544268829965e-06,-7.400030369025767385e-02
1.309535020482667012e+00,-7.447631379145283163e-06,-7.503078690860635891e-02
1.327770829355429782e+00,-7.656498023026695525e-06,-7.607561997619062544e-02
1.346260579298910409e+00,-7.871222264565789630e-06,-7.713500271840990907e-02
1.365007806546013835e+00,-8.091968378498277345e-06,-7.820913774322486856e-02
1.384016096573131627e+00,-8.318905245221260629e-06,-7.929823047990201823e-02
1.403289084785872332e+00,-8.552206486765315510e-06,-8.040248921829734607e-02
1.422830457214352640e+00,-8.792050582515774194e-06,-8.152212514868743820e-02
1.442643951218158138e+00,-9.038621029293232749e-06,-8.265735240215441038e-02
1.462733356201129986e+00,-9.292106463825365616e-06,-8.380838809153345892e-02
1.483102514336104516e+00,-9.552700813184383317e-06,-8.497545235293067767e-02
1.503755321299737657e+00,-9.820603445224637527e-06,-8.615876838781803826e-02
1.524695727017573832e+00,-1.009601931709167275e-05,-8.735856250571516490e-02
1.545927736419477672e+00,-1.037915913723207176e-05,-8.857506416746467603e-02
1.567455410205595090e+00,-1.067023951583146555e-05,-8.980850602911032154e-02
1.589282865622978047e+00,-1.096948314514691947e-05,-9.105912398638574268e-02
1.611414277253019112e+00,-1.127711896248157800e-05,-9.232715721982248658e-02
1.633853877809861244e+00,-1.159338232087410080e-05,-9.361284824048593523e-02
1.656605958949914470e+00,-1.191851517618190318e-05,-9.491644293634796115e-02
1.679674872092653093e+00,-1.225276626934292739e-05,-9.623819061930485863e-02
1.703065029252844420e+00,-1.259639131828095518e-05,-9.757834407285014000e-02
1.726780903884356011e+00,-1.294965321173976520e-05,-9.893715960041027380e-02
1.750827031735724182e+00,-1.331282221179651509e-05,-1.003148970743537177e-01
1.775208011717635204e+00,-1.368617615348238075e-05,-1.017118199856821698e-01
1.799928506782476401e+00,-1.407000067622632496e-05,-1.031281954944127249e-01
1.824993244816152327e+00,-1.446458941769030857e-05,-1.045642944806623315e-01
1.850407019542302134e+00,-1.487024425967858275e-05,-1.060203915964421789e-01
1.876174691439120412e+00,-1.528727554222441773e-05,-1.074967653181737870e-01
1.902301188668944709e+00,-1.571600231335737780e-05,-1.089936979999357458e-01
1.928791508020777812e+00,-1.615675256729894380e-05,-1.105114759274511693e-01
1.955650715865949074e+00,-1.660986349808784529e-05,-1.120503893728271860e-01
1.982883949127071332e+00,-1.707568175417005323e-05,-1.136107326500555431e-01
2.010496416260497909e+00,-1.755456370648984072e-05,-1.151928041712861339e-01
2.038493398252463340e+00,-1.804687572043859448e-05,-1.167969065038835935e-01
2.066880249629082122e+00,-1.855299443455437714e-05,-1.184233464282774262e-01
2.095662399480433091e+00,-1.907330704886531206e-05,-1.200724349966180715e-01
2.124845352498883067e+00,-1.960821162866271009e-05,-1.217444875922483460e-01
2.154434690031883370e+00,-2.015811739380987536e-05,-1.234398239900028477e-01
2.184436071149427505e+00,-2.072344504855325864e-05,-1.251587684173468551e-01
2.214855233726359174e+00,-2.130462708626170641e-05,-1.269016496163651309e-01
2.245697995539774006e+00,-2.190210813852551321e-05,-1.286688009066140337e-01
2.276970255381680186e+00,-2.251634530111222996e-05,-1.304605602488477512e-01
2.308677994187168458e+00,-2.314780848885310955e-05,-1.322772703096312397e-01
2.340827276178293115e+00,-2.379698080017363920e-05,-1.341192785268529863e-01
2.373424250023867366e+00,-2.446435887005285741e-05,-1.359869371761476819e-01
2.406475150015424003e+00,-2.515045327409309964e-05,-1.378806034382447088e-01
2.439986297259550074e+00,-2.585578889883902851e-05,-1.398006394672528796e-01
2.473964100886812734e+00,-2.658090535356388015e-05,-1.417474124598946950e-01
2.508415059277540049e+00,-2.732635737723500556e-05,-1.437212947257052453e-01
2.543345761304649510e+00,-2.809271526958879864e-05,-1.457226637582059448e-01
2.578762887593800901e+00,-2.888056532413537205e-05,-1.477519023070699433e-01
2.614673211801092023e+00,-2.969051027177209027e-05,-1.498093984512905152e-01
2.651083601908537535e+00,-3.052316975332826859e-05,-1.518955456733674103e-01
2.688001021537606228e+00,-3.137918077861057240e-05,-1.540107429345256851e-01
2.725432531281029025e+00,-3.225919822884473342e-05,-1.561553947509799478e-01
2.763385290053169907e+00,-3.316389534658240469e-05,-1.583299112712601153e-01
2.801866556459195134e+00,-3.409396425550393511e-05,-1.605347083546125042e-01
2.840883690183302779e+00,-3.505011648986600993e-05,-1.627702076504911888e-01
2.880444153396296336e+00,-3.603308354034478626e-05,-1.650368366791550301e-01
2.920555512182746671e+00,-3.704361740470244754e-05,-1.673350289133857249e-01
2.961225437988034503e+00,-3.808249117510039447e-05,-1.696652238613419184e-01
3.002461709085549213e+00,-3.915049962348578845e-05,-1.720278671505665324e-01
